地区;センター;Combustible Waste;Plastic containers and packages;Paper containers and packages;Used Paper and Clothing;Metal Waste
South Side【橋南地区】_Higashiizumocho Nishikihama（東出雲町-錦浜）;松江市;火 金;月;木2 木4;月2 月4;火3
South Side【橋南地区】_Higashiizumocho Iya(Iya on the North side from R9)（東出雲町（国道９号線から北側の揖屋））;松江市;火 金;水;木1 木3;木2 木4;月2
South Side【橋南地区】_Higashiizumocho Iya(Iya on the South side from R9)（東出雲町（国道９号線から南側の揖屋））;松江市;火 金;木;水2 水4;月1 月3;金2
South Side【橋南地区】_Higashiizumocho (Shimoito, Kamiito)（東出雲町（下意東、上意東））;松江市;火 金;水;月2 月4;木1 木3;木2
South Side【橋南地区】_Higashiimbecho（東忌部町）;松江市;火 金;木;水2 水4;月1 月3;火1
North Side【橋北地区】_Higashiokudanicho（東奥谷町）;松江市;月 木;金;月1 月3;火2 火4;木1
North Side【橋北地区】_Higashichamachi（東茶町）;松江市;月 木;金;月1 月3;火2 火4;水4
South Side【橋南地区】_Higashitsudacho（東津田町）;松江市;火 金;水;月2 月4;木2 木4;金2
North Side【橋北地区】_Higashinagaecho（東長江町）;松江市;月 木;火;金1 金3;金2 金4;金4
North Side【橋北地区】_Higashihommachi 1 to 5-chome（東本町一～五丁目）;松江市;月 木;金;月1 月3;火2 火4;水4
North Side【橋北地区】_Higashimochidacho（東持田町）;松江市;月 木;水;火1 火3;木1 木3;月4
North Side【橋北地区】_Hitsucho（比津町）;松江市;月 木;火;金1 金3;金2 金4;月1
North Side【橋北地区】_Hitsugaoka 1 to 5-chome（比津が丘一～五丁目）;松江市;月 木;火;金1 金3;金2 金4;月1
North Side【橋北地区】_Fukutomicho（福富町）;松江市;月 木;水;火1 火3;木1 木3;月4
North Side【橋北地区】_Fukuharacho（福原町）;松江市;月 木;水;火1 火3;木1 木3;金1
South Side【橋南地区】_Fujimicho（富士見町）;松江市;火 金;水;月2 月4;木2 木4;木2
South Side【橋南地区】_Heiseicho（平成町）;松江市;火 金;木;水2 水4;月1 月3;水3
North Side【橋北地区】_Hokuryocho（北陵町）;松江市;月 木;水;火1 火3;木1 木3;月4
North Side【橋北地区】_Hokkicho（法吉町）;松江市;月 木;金;月1 月3;火2 火4;木1
North Side【橋北地区】_Horomachi（母衣町）;松江市;月 木;金;月1 月3;火2 火4;水4
South Side【橋南地区】_Hongocho(West side from R432)（本郷町（国道４３２号線から西側））;松江市;火 金;月;木2 木4;水2 水4;火4
South Side【橋南地区】_Hongocho(East side from R432)（本郷町（国道４３２号線から東側））;松江市;火 金;月;木2 木4;水2 水4;水2
North Side【橋北地区】_Honjocho（本庄町）;松江市;月 木;水;火1 火3;木1 木3;金1
South Side【橋南地区】_Makatacho(North side from R432BP)（馬潟町（国道９号バイパスから北側））;松江市;火 金;水;月2 月4;木2 木4;木2
South Side【橋南地区】_Makatacho(South side from R432BP)（馬潟町（国道９号バイパスから南側））;松江市;火 金;水;月2 月4;木2 木4;火3
North Side【橋北地区】_Makuragicho（枕木町）;松江市;月 木;水;火1 火3;木1 木3;金1
South Side【橋南地区】_Matsuocho（松尾町）;松江市;火 金;月;木2 木4;水2 水4;火4
North Side【橋北地区】_Minamitamachi（南田町）;松江市;月 木;金;水1 水3;火1 火3;月2
North Side【橋北地区】_Mihonosekicho Kasaura（美保関町-笠浦）;松江市;月 木;火;金2 金4;金1 金3;水1
North Side【橋北地区】_Mihonosekicho Chikumi（美保関町-千酌）;松江市;月 木;火;金2 金4;金1 金3;水1
North Side【橋北地区】_Mihonosekicho Kitaura（美保関町-北浦）;松江市;月 木;火;金2 金4;金1 金3;水1
North Side【橋北地区】_Mihonosekicho Inazumi（美保関町-稲積）;松江市;月 木;火;金2 金4;金1 金3;水1
North Side【橋北地区】_Mihonosekicho Sugeura（美保関町-菅浦）;松江市;月 木;火;金2 金4;金1 金3;水1
North Side【橋北地区】_Mihonosekicho Katae（美保関町-片江）;松江市;月 木;火;金2 金4;金1 金3;水1
North Side【橋北地区】_Mihonosekicho Sasago（美保関町-笹子）;松江市;月 木;火;金2 金4;金1 金3;水1
North Side【橋北地区】_Mihonosekicho Sozu（美保関町-惣津）;松江市;月 木;火;金2 金4;金1 金3;水1
North Side【橋北地区】_Mihonosekicho Shichirui（美保関町-七類）;松江市;月 木;火;金2 金4;金1 金3;水1
North Side【橋北地区】_Mihonosekicho Houda（美保関町-法田）;松江市;月 木;火;金2 金4;金1 金3;水1
North Side【橋北地区】_Mihonosekicho Morokui（美保関町-諸喰）;松江市;月 木;火;金2 金4;金1 金3;水1
North Side【橋北地区】_Mihonosekicho Fukura（美保関町-福浦）;松江市;月 木;火;金2 金4;金1 金3;水1
North Side【橋北地区】_Mihonosekicho Nagahama（美保関町-長浜）;松江市;月 木;火;金2 金4;金1 金3;水1
North Side【橋北地区】_Mihonosekicho Oshishi（美保関町-男鹿）;松江市;月 木;火;金2 金4;金1 金3;水1
North Side【橋北地区】_Mihonosekicho Kumozu（美保関町-雲津）;松江市;月 木;火;金2 金4;金1 金3;水1
North Side【橋北地区】_Mihonosekicho Kaizaki（美保関町-海崎）;松江市;月 木;火;金2 金4;金1 金3;水1
North Side【橋北地区】_Mihonosekicho Saiura（美保関町-才浦）;松江市;月 木;火;金2 金4;金1 金3;水1
North Side【橋北地区】_Mihonosekicho Karubi（美保関町-軽尾）;松江市;月 木;火;金2 金4;金1 金3;水1
North Side【橋北地区】_Mihonosekicho Mihonoseki（美保関町-美保関）;松江市;月 木;火;金2 金4;金1 金3;水1
North Side【橋北地区】_Mihonosekicho Manbara（美保関町-万原）;松江市;月 木;水;火1 火3;木1 木3;金1
North Side【橋北地区】_Mihonosekicho Shimobeo（美保関町-下宇部尾）;松江市;月 木;水;火1 火3;木1 木3;金1
North Side【橋北地区】_Mihonosekicho Moriyama（美保関町-森山）;松江市;月 木;水;火1 火3;木1 木3;金1
North Side【橋北地区】_Mihonosekicho Ui（美保関町-宇井）;松江市;月 木;水;火1 火3;木1 木3;金1
North Side【橋北地区】_Mukojimacho（向島町）;松江市;月 木;金;月1 月3;火2 火4;水4
South Side【橋南地区】_Yakumodai 1 to 2-chome（八雲台一・二丁目）;松江市;火 金;月;木1 木3;水1 水3;木4
South Side【橋南地区】_Yakumocho（八雲町）;松江市;火 金;木;水2 水4;月1 月3;水3
South Side【橋南地区】_Yadacho(North side from R9BP)（矢田町（国道９号バイパスから北側））;松江市;火 金;水;月2 月4;木2 木4;木2
South Side【橋南地区】_Yadacho(South side from R9BP)（矢田町（国道９号バイパスから南側））;松江市;火 金;水;月2 月4;木2 木4;火3
North Side【橋北地区】_Yatsukacho（八束町）;松江市;月 木;水;火1 火3;木1 木3;金1
South Side【橋南地区】_Yamashirocho(East side from R432)（山代町（国道４３２号線から東側））;松江市;火 金;水;月2 月4;木2 木4;火3
South Side【橋南地区】_Yamashirocho(West side from R432)（山代町（国道４３２号線から西側））;松江市;火 金;木;水2 水4;月1 月3;水3
South Side【橋南地区】_Yawatacho（八幡町）;松江市;火 金;水;月2 月4;木2 木4;木2
South Side【橋南地区】_Yokobamacho（横浜町）;松江市;火 金;月;木2 木4;水2 水4;火4
North Side【橋北地区】_Yonagomachi（米子町）;松江市;月 木;金;水1 水3;火1 火3;月2
South Side【橋南地区】_Yomeshimacho（嫁島町）;松江市;火 金;月;木2 木4;水2 水4;木3
South Side【橋南地区】_Wadamicho（和多見町）;松江市;月 木;金;木2 木4;水2 水4;木3
